id,name,bot_image,health,attack,defence,special attack,special defence,speed,move1,move2,move3,move4,status,Type 1,Type 2,item,player_image
30,Slowking,/data/bot_images/image30.gif,394,155,257,236,350,96,recover,calm_mind,toxic,scald,NO_EFFECT,WATER,PSYCHIC,leftovers,/data/player_images/image30.png
31,Driftblim,/data/bot_images/image31.gif,442,176,359,216,227,196,clear_smog,shadow_ball,will_o_wisp,recover,NO_EFFECT,GHOST,FLYING,sitrus_berry,/data/player_images/image31.gif
32,Rotom_Wash,/data/bot_images/image32.gif,241,121,250,309,251,298,hydro_pump,volt_switch,bug_buzz,will_o_wisp,NO_EFFECT,ELECTRIC,WATER,choice_scarf,/data/player_images/image32.gif
33,Escavalier,/data/bot_images/image33.gif,344,405,246,140,247,76,megahorn,iron_head,earthquake,swords_dance,NO_EFFECT,BUG,STEEL,lum_berry,/data/player_images/image33.gif
34,Keldeo,/data/bot_images/image34.gif,323,135,216,357,217,346,calm_mind,hydro_pump,aura_sphere,ice_beam,NO_EFFECT,WATER,FIGHTING,leftovers,/data/player_images/image34.gif
35,Dunsparce_UNLEASHED,/data/bot_images/image35.gif,404,145,176,405,176,328,quiver_dance,thunder_bolt,ice_beam,sludge_wave,NO_EFFECT,DRAGON,NORMAL,sitrus_berry,/data/player_images/image35.gif
36,Beedrill_Mega,/data/bot_images/image36.gif,271,399,116,59,197,427,u_turn,sky_uppercut,poison_jab,recover,NO_EFFECT,BUG,POISON,none,/data/player_images/image36.gif
37,Armored_Titan,/data/bot_images/image37.png,404,328,397,129,339,220,diamond_storm,titanic_rage,stone_edge,recover,NO_EFFECT,FIGHTING,ROCK,titan_orb,/data/bot_images/image37.png
38,Colossal_Titan,/data/bot_images/image38.png,652,262,176,158,239,46,heat_wave,titanic_rage,body_slam,earthquake,NO_EFFECT,FIGHTING,NORMAL,titan_orb,/data/bot_images/image38.png
39,Attack_Titan,/data/bot_images/image39.png,242,459,136,122,149,399,night_slash,titanic_rage,iron_head,dragon_dance,NO_EFFECT,FIGHTING,DARK,titan_orb,/data/bot_images/image39.png
40,Levi_Ackerman,/data/bot_images/image40.png,341,359,236,162,236,394,swords_dance,ackerman_insight,shadow_rush,fire_punch,NO_EFFECT,GHOST,FAIRY,life_orb,/data/bot_images/image40.png
41,Venusaur,/data/bot_images/image41.gif,301,169,202,383,236,330,giga_drain,sludge_wave,hidden_power_fire,wild_growth,NO_EFFECT,GRASS,POISON,leftovers,/data/player_images/image41.gif
42,Tangrowth,/data/bot_images/image42.gif,342,236,349,256,328,122,earthquake,giga_drain,toxic,protect,NO_EFFECT,GRASS,NULL,leftovers,/data/player_images/image42.gif
43,Alola_Ninetails,/data/bot_images/image43.gif,287,125,186,349,237,375,dazzling_gleam,ice_beam,shadow_ball,hidden_power_fire,NO_EFFECT,ICE,FAIRY,choice_scarf,/data/player_images/image43.gif
44,Bisharp,/data/bot_images/image44.gif,271,349,236,140,177,328,iron_head,night_slash,poison_jab,swords_dance,NO_EFFECT,DARK,STEEL,life_orb,/data/player_images/image44.gif
45,Volcanion,/data/bot_images/image45.png,302,202,339,394,216,202,scald,heat_wave,recover,calm_mind,NO_EFFECT,FIRE,WATER,leftovers,/data/player_images/image45.png
46,Genesect,/data/bot_images/image46.gif,284,372,226,248,226,338,aqua_jet,iron_head,u_turn,swords_dance,NO_EFFECT,BUG,STEEL,leftovers,/data/player_images/image46.gif
47,Dragonite,/data/bot_images/image47.gif,474,305,226,212,328,196,dragon_claw,dual_wingbeat,heal_bell,recover,NO_EFFECT,DRAGON,FLYING,leftovers,/data/player_images/image47.gif
48,Torkoal,/data/bot_images/image48.gif,282,206,379,416,176,68,heat_wave,gyro_ball,hidden_power_ice,calm_mind,NO_EFFECT,FIRE,NULL,leftovers,/data/player_images/image48.gif
49,Rhyperior,/data/bot_images/image49.gif,434,416,297,131,184,116,earthquake,stone_edge,explosion,megahorn,NO_EFFECT,ROCK,GROUND,choice_band,/data/player_images/image49.gif
50,Gengar,/data/bot_images/image50.gif,262,149,186,394,186,350,thunder_bolt,giga_drain,sludge_wave,recover,NO_EFFECT,GHOST,POISON,life_orb,/data/player_images/image50.gif
51,Ho_Oh,/data/bot_images/image51.gif,353,359,216,230,447,217,overheat,dual_wingbeat,fire_punch,recover,NO_EFFECT,FIRE,FLYING,leftovers,/data/player_images/image51.gif
52,Jolteon,/data/bot_images/image52.gif,272,166,200,319,226,400,thunder_bolt,shadow_ball,ice_beam,calm_mind,NO_EFFECT,ELECTRIC,NULL,leftovers,/data/player_images/image52.gif
53,Suicune,/data/bot_images/image53.gif,404,186,361,217,266,206,scald,ice_beam,recover,calm_mind,NO_EFFECT,WATER,NULL,leftovers,/data/player_images/image53.gif
54,Glalie,/data/bot_images/image54.gif,382,276,276,339,276,372,ice_shard,u_turn,overheat,recover,NO_EFFECT,ICE,NULL,leftovers,/data/player_images/image54.gif
55,Metagross,/data/bot_images/image55.gif,302,405,359,203,216,214,iron_head,earthquake,zen_headbutt,agility,NO_EFFECT,STEEL,PSYCHIC,leftovers,/data/player_images/image55.gif
56,Shadow_Lugia,/data/bot_images/image56.png,450,194,416,216,370,256,hydro_pump,shadow_rush,dark_pulse,recover,NO_EFFECT,NORMAL,GHOST,leftovers,/data/player_images/image56.png
57,Bewear,/data/bot_images/image57.png,382,383,259,131,259,156,body_slam,sky_uppercut,ice_punch,dragon_dance,NO_EFFECT,NORMAL,FIGHTING,leftovers,/data/player_images/image57.gif
58,Crobat,/data/bot_images/image58.gif,311,420,130,180,200,373,poison_jab,dual_wingbeat,fire_punch,swords_dance,NO_EFFECT,POISON,FLYING,life_orb,/data/player_images/image58.gif
59,Ferrothorn,/data/bot_images/image59.gif,302,289,373,131,381,40,gyro_ball,seed_bomb,toxic,protect,NO_EFFECT,STEEL,GRASS,leftovers,/data/player_images/image59.gif
60,Togekiss,/data/bot_images/image60.gif,302,130,311,299,340,251,dazzling_gleam,air_slash,thunder_wave,wild_growth,NO_EFFECT,FAIRY,FLYING,leftovers,/data/player_images/image60.gif
61,Delphox,/data/bot_images/image61.png,291,128,201,371,237,321,overheat,psychic,thunder_bolt,toxic,NO_EFFECT,FIRE,PSYCHIC,leftovers,/data/player_images/image61.png
62,Dialgia,/data/bot_images/image62.gif,404,276,276,399,236,217,draco_meteor,overheat,flash_cannon,thunder_wave,NO_EFFECT,DRAGON,STEEL,leftovers,/data/player_images/image62.gif
63,Incineroar,/data/bot_images/image63.png,404,372,301,166,205,271,ice_shard,fire_punch,night_slash,dragon_dance,NO_EFFECT,FIRE,DARK,life_orb,/data/player_images/image63.png
64,Shuckle,/data/bot_images/image64.gif,180,71,660,52,600,1,will_o_wisp,protect,u_turn,recover,NO_EFFECT,BUG,ROCK,leftovers,/data/player_images/image64.gif
